A1,A2,t
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.267129856495145090e-02,1.726428989690215188e-02,1.000000000000000056e-01
6.834225352993079927e-02,3.141583052759521627e-02,2.000000000000000111e-01
5.650343407412878466e-02,4.298413668527468340e-02,3.000000000000000444e-01
4.671673213076304315e-02,5.242458339376668969e-02,4.000000000000000222e-01
3.861368668696333467e-02,6.012014779750181337e-02,5.000000000000000000e-01
3.191744933776156229e-02,6.635857595446187362e-02,6.000000000000000888e-01
2.639292371837707180e-02,7.138421292316381173e-02,7.000000000000000666e-01
2.182942916132413202e-02,7.541602389996246436e-02,8.000000000000000444e-01
1.804501079618268944e-02,7.864311386694967931e-02,9.000000000000000222e-01
1.491190395275833989e-02,8.119825732798188755e-02,1.000000000000000000e+00
1.232746896477099167e-02,8.318811159659381116e-02,1.100000000000000089e+00
1.019751184869979559e-02,8.471055495574947303e-02,1.200000000000000178e+00
8.436340313848333244e-03,8.585462843512958742e-02,1.300000000000000044e+00
6.972779932824972778e-03,8.669428199704373728e-02,1.400000000000000133e+00
5.761849526379390907e-03,8.727623796630289144e-02,1.500000000000000000e+00
4.763600712040351806e-03,8.764198732915344514e-02,1.600000000000000089e+00
3.941151693230204520e-03,8.782983360660977235e-02,1.700000000000000178e+00
3.260750956371639628e-03,8.787482664123584530e-02,1.800000000000000044e+00
2.694918788506869747e-03,8.780549698642221845e-02,1.900000000000000133e+00
2.226817762812497489e-03,8.763931278399175739e-02,2.000000000000000000e+00
1.841029093237536501e-03,8.739226774533964681e-02,2.100000000000000089e+00
1.523274458158246610e-03,8.707917031212225600e-02,2.200000000000000178e+00
1.260429760679696509e-03,8.671362935240052583e-02,2.300000000000000266e+00
1.041698473456390385e-03,8.630683446681942927e-02,2.400000000000000355e+00
8.606635157945238552e-04,8.586542306118873091e-02,2.500000000000000000e+00
7.114863122436583358e-04,8.539543142388979213e-02,2.600000000000000089e+00
5.887112147621235666e-04,8.490249802491096898e-02,2.700000000000000178e+00
4.872765838296930609e-04,8.439185199699220097e-02,2.800000000000000266e+00
4.027835386556709394e-04,8.386803376877273453e-02,2.900000000000000355e+00
3.326976114640026573e-04,8.333364594389346125e-02,3.000000000000000000e+00
2.749227718289321823e-04,8.279083560241090600e-02,3.100000000000000089e+00
2.274462518960311509e-04,8.224166349901591844e-02,3.200000000000000178e+00
1.883622025081828268e-04,8.168807947220123322e-02,3.300000000000000266e+00
1.558757380934913629e-04,8.113191823953191939e-02,3.400000000000000355e+00
1.287294954851559499e-04,8.057445598690007871e-02,3.500000000000000000e+00
1.062598508028876284e-04,8.001635193459738504e-02,3.600000000000000089e+00
8.780085321150137543e-05,7.945826794142225868e-02,3.700000000000000178e+00
7.269604270886978958e-05,7.890085621682201011e-02,3.800000000000000266e+00
